shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
317521,49.265249,-123.215962,1,0
317521,49.263855,-123.215244,10,0.2413
317521,49.262785,-123.097018,100,9.1275
317521,49.262775,-123.096704,101,9.1504
317521,49.262639,-123.096,102,9.2038
317521,49.26255,-123.095594,103,9.235
317521,49.262519,-123.094953,104,9.2818
317521,49.262519,-123.094952,105,9.2818
317521,49.262509,-123.093529,106,9.3854
317521,49.262506,-123.093,107,9.4239
317521,49.26249,-123.091044,108,9.5663
317521,49.262482,-123.089135,109,9.7053
317521,49.263852,-123.21507,11,0.2539
317521,49.26247,-123.087187,110,9.847
317521,49.262456,-123.085265,111,9.987
317521,49.262441,-123.083322,112,10.1284
317521,49.262425,-123.08139,113,10.269
317521,49.262415,-123.080307,114,10.3479
317521,49.262393,-123.077623,115,10.5432
317521,49.262392,-123.07748,116,10.5536
317521,49.262386,-123.076726,117,10.6085
317521,49.262376,-123.075584,118,10.6917
317521,49.26237,-123.074831,119,10.7465
317521,49.263925,-123.214904,12,0.2685
317521,49.262359,-123.073646,120,10.8327
317521,49.262343,-123.071787,121,10.9681
317521,49.262326,-123.069794,122,11.1131
317521,49.262818,-123.069786,123,11.1678
317521,49.262926,-123.069784,124,11.1799
317521,49.263024,-123.069782,125,11.1908
317521,49.263232,-123.069778,126,11.2139
317521,49.263583,-123.069771,127,11.2529
317521,49.263743,-123.069767,128,11.2707
317521,49.263683,-123.069717,129,11.2783
317521,49.263905,-123.213689,13,0.357
317521,49.262606,-123.067007,130,11.5091
317521,49.263889,-123.212699,14,0.429
317521,49.26388,-123.212129,15,0.4705
317521,49.263836,-123.209121,16,0.6895
317521,49.263791,-123.20609,17,0.9102
317521,49.263744,-123.203012,18,1.1343
317521,49.263743,-123.203011,19,1.1344
317521,49.265365,-123.215906,2,0.0135
317521,49.263699,-123.200095,20,1.3467
317521,49.263699,-123.200081,21,1.3477
317521,49.263699,-123.200082,22,1.3478
317521,49.263647,-123.19697,23,1.5744
317521,49.263637,-123.195656,24,1.67
